player_name,season
Donny Marshall,4
Buddy Hield,4
Jakob Poeltl,4
Obinna Ekezie,4
Fred VanVleet,4
Tim Legler,4
David Harrison,4
Malik Beasley,4
Darius Morris,4
Brandon Ingram,4
Orien Greene,4
Tierre Brown,4
Nikoloz Tskitishvili,4
Todd MacCulloch,4
Todd Day,4
Marcus Haislip,4
Malik Sealy,4
Jeff Hornacek,4
Thon Maker,4
Timothe Luwawu-Cabarrot,4
Jaylen Brown,4
Malcolm Thomas,4
Manny Harris,4
Gary Payton II,4
Ryan Kelly,4
Dario Saric,4
Salah Mejri,4
Wes Iwundu,3
Sterling Brown,3
Will Conroy,3
Semi Ojeleye,3
Wade Baldwin IV,3
Khem Birch,3
P.J. Tucker,3
Walter Herrmann,3
Luke Kornet,3
Malik Monk,3
Luke Kennard,3
Kornel David,3
Quincy Miller,3
Stojko Vrankovic,3
Monte Morris,3
William Avery,3
Torrey Craig,3
Sundiata Gaines,3
Wayne Selden,3
Rafael Araujo,3
Marcus Morris Sr.,3
Willie Burton,3
Othyus Jeffers,3
Zoran Planinic,3
Rashad Vaughn,3
Malcolm Miller,3
Tony Bradley,3
Mickael Gelabale,3
Malachi Richardson,3
Mahmoud Abdul-Rauf,3
Shawn Respert,3
Zarko Cabarkapa,3
Maciej Lampe,3
Shaquille Harrison,3
Orlando Johnson,3
Zach Collins,3
Maxi Kleber,3
Ray McCallum,3
Michael Cage,3
Ruben Boumtje-Boumtje,3
Tony Smith,3
Kevin Edwards,3
Mengke Bateer,3
Royce O'Neale,3
Trajan Langdon,3
Reece Gaines,3
Kevin Johnson,3
Sergey Karasev,3
Willie Reed,3
Ryan Arcidiacono,3
Mouhamed Sene,3
Roy Rogers,3
Lavor Postell,3
Perry Jones III,3
Markelle Fultz,3
Paul Shirley,3
Larry Robinson,3
Markel Brown,3
Pape Sow,3
Samardo Samuels,3
Lauri Markkanen,3
Lonzo Ball,3
Terry Davis,3
Litterial Green,3
Pat Burke,3
Tyler Ulis,3
Tyrone Wallace,3
Terry Dehere,3
Trey Johnson,3
Rodrick Rhodes,3
Lazar Hayward,3
Ryan Humphrey,3
Sam Jacobson,3
Lee Mayberry,3
Ron Baker,3
Troy Williams,3
Mario Bennett,3
Thomas Bryant,3
Salim Stoudamire,3
OG Anunoby,3
Naz Mitrou-Long,3
Vonteego Cummings,3
Roshown McLeod,3
Quincy Douby,3
Morris Almond,3
T.J. Warren,3
TJ Leaf,3
TJ Warren,3
Kyle Kuzma,3
Tamar Slay,3
Tarence Kinsey,3
Olumide Oyedeji,3
Rick Mahorn,3
Kyle Weaver,3
Victor Claver,3
PJ Dozier,3
Lorenzo Williams,3
Rony Seikaly,3
Nate Wolters,3
Vander Blue,3
Marquis Teague,3
Tim James,3
Tyus Edney,3
Pooh Richardson,3
Terence Morris,3
Terrance Ferguson,3
Oleksiy Pecherov,3
Phil Pressey,3
Okaro White,3
Malcolm Lee,3
Jon Brockman,3
Harvey Grant,3
John Collins,3
Gheorghe Muresan,3
Gerard King,3
Joel Freeland,3
Deyonta Davis,3
Gerald Wilkins,3
Joe Young,3
Joe Wolf,3
Joe Stephens,3
Alfonzo McKinnie,3
Joe Dumars,3
Brian Evans,3
Dillon Brooks,3
Art Long,3
Briante Weber,3
Dominique Jones,3
Jimmy Oliver,3
Alton Ford,3
Chris McCullough,3
Chris Morris,3
Chris Boucher,3
Devin Ebanks,3
Denzel Valentine,3
Alex Caruso,3
Bam Adebayo,3
Derek Harper,3
Jordan Bell,3
Chris Singleton,3
Derrick Brown,3
Jonny Flynn,3
Jonathan Isaac,3
Alex Poythress,3
Jackie Butler,3
Derrick White,3
Johnny Taylor,3
Brandon Williams,3
Johnathan Motley,3
Awvee Storey,3
Alexey Shved,3
Donovan Mitchell,3
Chris Anstey,3
Dennis Smith Jr.,3
Anthony Roberson,3
Andrew Goudelock,3
Andrew Harrison,3
Caleb Swanigan,3
Frank Williams,3
Cedric Simmons,3
Jan Vesely,3
Jawad Williams,3
Anthony Brown,3
Frank Ntilikina,3
Frank Mason,3
Elijah Millsap,3
Cedi Osman,3
Jarell Eddie,3
Jarnell Stokes,3
Festus Ezeli,3
Ante Zizic,3
Carl Herrera,3
Edmond Sumner,3
Jayson Tatum,3
