Date,Team,Acquired,Relinquished,Notes
2012-04-13,Heat,• Eddy Curry,,activated from IL (P)
2012-04-13,Hornets,,• Chris Johnson (b. 1985-07-15),placed on IL
2012-04-13,Mavericks,,• Jason Kidd,placed on IL for rest
2012-04-13,Mavericks,• Kelenna Azubuike,,activated from IL
2012-04-13,Pacers,,• Darren Collison,placed on IL with sore groin
2012-04-13,Pacers,• Kyrylo Fesenko,,activated from IL
2012-04-13,Thunder,,• Lazar Hayward,placed on IL with flu
 Date, Team, Acquired, Relinquished, Notes
2012-04-13,Thunder,• Reggie Jackson (Shon),,activated from IL
2012-04-13,Hawks,,• Ivan Johnson,placed on IL
2012-04-14,Cavaliers,,• Semih Erden,placed on IL
2012-04-14,Thunder,,• Reggie Jackson (Shon),placed on IL
2012-04-14,Thunder,• Lazar Hayward,,activated from IL
2012-04-14,Cavaliers,• Luke Harangody,,activated from IL
2012-04-15,Bobcats,,• Corey Maggette,placed on IL with sore right Achilles tendon (out for season)
2012-04-15,Cavaliers,• Semih Erden,,activated from IL
2012-04-15,Grizzlies,• Josh Selby,,activated from IL
2012-04-15,Hawks,,• Zaur Pachulia / Zaza Pachulia,placed on IL with sprained left ankle (out for season)
2012-04-15,Heat,,• Eddy Curry,placed on IL
2012-04-15,Heat,• Udonis Haslem,,activated from IL
2012-04-15,Mavericks,,• Rodrigue Beaubois,placed on IL with strained right calf
2012-04-15,Mavericks,• Jason Kidd,,activated from IL
2012-04-15,Nuggets,,• Julyan Stone,placed on IL
2012-04-15,Nuggets,• Wilson Chandler,,activated from IL
